"timestamp","speed","accuracy","acceleration_magnitude","DFT_E1","DFT_E2","DFT_E3","mode"
1387972709,0,16,12.641170769,159.799198411,132.758866403,128.468508549,"bus"
1387974086,0,150,11.9253840721,142.214785267,142.089657316,142.316263453,"stationary"
1388060938,0,24,10.3897421894,107.946742762,107.263135461,101.217777996,"bus"
1387869864,0,858,13.0041553617,169.108056671,163.724634234,172.940901605,"walking"
1388057912,0,12,11.4743054731,131.65968609,120.127747168,113.570099467,"walking"
1387875188,0,150,11.9481803143,142.759012823,142.759012823,143.459855228,"stationary"
1388059449,7.029641,8,10.0444933315,100.891846287,102.027475061,99.9833331359,"auto"
1387974624,0,150,11.9781267291,143.475519938,141.934133428,142.143190513,"stationary"
1387871723,0,24,12.1132332514,146.730419803,143.737175413,145.975939304,"bus"
1387875406,0,24,11.9250288226,142.20631242,143.617615344,142.930650101,"stationary"
1387871384,0,16,11.9103128869,141.855553064,137.879211372,136.828453664,"auto"
1387871234,7.3777122,12,11.2455393222,126.462154647,126.462154647,150.68784407,"auto"
1387871154,0,12,11.3174518231,128.084715768,128.084715768,128.084715768,"auto"
1387875654,0,32,11.9423310893,142.619271846,143.589274853,143.297312506,"stationary"
1388059523,4.3472567,16,12.8864045645,166.0594226,166.0594226,98.1435769867,"auto"
1387869727,0,858,14.1319598953,199.712290482,172.292318651,172.292318651,"walking"
1387871148,0,12,11.9670933933,143.211324284,153.677005456,158.008836436,"auto"
1387875516,1.212526,32,11.9510365728,142.827275164,142.702343356,143.578218861,"stationary"
1387974128,0,150,11.9557295814,142.939469824,142.939469824,139.605000646,"stationary"
1387870271,1.1553103,8,11.6462298902,135.634670655,135.634670655,161.04235086,"walking"
1387875388,0,32,11.9542134271,142.903218661,143.217607735,144.097405985,"stationary"
1387974795,0,150,11.9006239233,141.624849764,142.198040863,141.35699408,"stationary"
1387875517,0,150,11.9630880708,143.11547619,142.919068192,142.695697815,"stationary"
1387871335,0,16,9.75406476272,95.1417793953,95.1417793953,95.1417793953,"auto"
1388057383,0.85244125,8,9.99043016453,99.8086948724,133.238288803,130.648239508,"walking"
1387874866,0,150,12.0459974559,145.106054708,145.106054708,146.746561033,"stationary"
1387974383,0,32,11.9946104897,143.8706808,146.054943944,142.058219139,"stationary"
1388059316,1.6574476,8,11.7546206865,138.171107483,147.489211569,147.759907325,"auto"
1387974168,0,150,11.939304038,142.546980912,141.630568366,142.404636692,"stationary"
1387875069,0,150,11.9642405323,143.143051515,143.143051515,144.23277811,"stationary"
1387974899,0,32,11.9139795727,141.942909259,141.550307288,141.504094224,"stationary"
1387869673,0,905,11.5691875963,133.846101638,113.984513598,122.796975632,"walking"
1387971499,0,48,13.2979986009,176.83676679,165.458217014,165.458217014,"auto"
1387870917,0,16,12.0267038528,144.641605563,144.641605563,144.641605563,"auto"
1388060628,2.3307722,12,11.0275069961,121.605910549,76.9514844041,92.0498209771,"bus"
1387875505,0,32,11.966291387,143.192129559,143.293522138,143.293522138,"stationary"
1387972946,0,16,14.1155464257,199.248650896,209.619026124,206.333108756,"bus"
1387972153,0,8,12.1804045554,148.362255133,135.637582042,130.909816985,"bus"
1387974575,0,150,11.9601624641,143.045486168,141.891573296,142.164263045,"stationary"
1387875234,0,32,11.9866221783,143.679111245,143.679111245,143.788479205,"stationary"
1388060475,2.3307722,12,9.53396948542,90.8965741489,90.8965741489,125.987308878,"bus"
1387875259,0,150,11.9680194383,143.233489276,142.886695611,143.176168792,"stationary"
1387971171,0,6,11.327308325,128.30791389,136.94956043,136.699388411,"auto"
1388057770,0,12,10.9279187026,119.419407171,210.573462531,174.021600561,"walking"
1387875677,0,150,12.0090485139,144.217246209,144.217246209,144.217246209,"stationary"
1388057752,0,12,10.9230125117,119.312202331,110.095745242,126.077223228,"walking"
1388059461,6.419715,8,9.83992736088,96.8241704674,146.49538308,150.897233196,"auto"
1387870536,0,16,12.3836312459,153.354322834,136.216568356,133.030761123,"auto"
1388060945,0,24,10.1883815229,103.803118056,105.727563225,104.086563025,"bus"
1388057887,0,1040,12.8373135659,164.796619589,159.039633722,155.715092432,"walking"
1387874894,0,16,13.1236784229,172.230935348,140.680980104,135.474568728,"stationary"
1387875498,0,32,11.95455909,142.911483036,142.911483036,142.911483036,"stationary"
1387874872,0,24,12.132857542,147.206232134,147.206232134,147.268550447,"stationary"
1387871141,0,16,12.1202649303,146.900821981,148.137244011,142.641539899,"auto"
1388059236,0,16,10.4175792003,108.525956395,105.024471208,103.866140466,"auto"
1387974009,0,150,12.0195363536,144.469254156,146.142475053,146.142475053,"stationary"
1387875473,1.2892194,48,11.9703672269,143.289691547,142.644605818,142.205655118,"stationary"
1387874949,0,32,12.0655946739,145.578574835,145.578574835,145.752542252,"stationary"
1387874854,1.4852908,48,12.111746464,146.694402408,145.387810839,145.547827054,"stationary"
1388061049,0,24,10.1142834202,102.298729104,130.315839065,121.843383256,"bus"
1388059138,0,8,11.5278539608,132.891416942,150.78801961,147.025082681,"auto"
1388057937,0,16,12.5456938868,157.394435101,161.011553113,170.307238133,"walking"
1388058180,0,16,10.2202905428,104.454338779,112.969349202,124.767130551,"walking"
1387871386,0,16,10.4272878573,108.728332059,109.138233074,111.334514827,"auto"
1387875121,0,32,12.0075203235,144.180544319,144.180544319,143.762455594,"stationary"
1387969612,1.1050557,6,9.82603144519,96.5508939619,89.2927354474,91.7573539228,"walking"
1387971417,7.7250023,12,10.659779144,113.630891399,107.048857813,114.463393787,"auto"
1387874844,0,858,12.0236847889,144.568995903,145.202953794,145.59836406,"stationary"
1387869677,1.1745969,12,15.3503272058,235.632545325,208.286328575,168.475410203,"walking"
1387875208,0,32,11.9921948336,143.812736927,143.812736927,143.924828586,"stationary"
1387870709,3.3018577,8,12.1359552996,147.281411034,140.511132576,137.993733921,"auto"
1387875193,0,32,11.9455382112,142.695883155,142.695883155,143.256708995,"stationary"
1388057819,0.7855121,12,12.744318317,162.417649365,126.996671081,136.841510942,"walking"
1387972175,0,8,9.7423984403,94.9143273696,118.314012099,117.781302732,"bus"
1387874905,0,16,12.1016899196,146.45089891,146.945181458,146.945181458,"stationary"
1387872155,0,24,8.49305388776,72.1319643404,64.20906969,59.6573626128,"bus"
1388058061,0,12,11.7234147802,137.438454109,140.730568646,139.068278985,"walking"
1387972318,0,12,10.26161343,105.300710187,105.300710187,143.442047909,"bus"
1387871324,0,12,11.1035274004,123.288320731,123.288320731,158.382884467,"auto"
1387974288,0,16,11.9439774938,142.658598372,143.641887214,143.661108854,"stationary"
1387871733,0,24,11.819871787,139.709369061,143.914439511,145.860934003,"bus"
1387869523,1.1312865,8,12.4785990154,155.715433387,150.926114042,145.605019558,"walking"
1387875572,0,32,11.9598745332,143.03859885,143.4210621,142.954908753,"stationary"
1387970718,0,858,10.8741963937,118.248147209,117.786154381,113.016113923,"auto"
1387970926,1.2724793,12,12.5670018122,157.929534548,157.929534548,115.686323168,"auto"
1387871088,8.384764,8,12.3576090815,152.710502211,152.710502211,150.977068753,"auto"
1387969726,0.95055217,6,14.7554232756,217.722516042,256.980145488,264.258429141,"walking"
1387974566,0,32,11.923024037,142.158502187,142.628083304,141.950197882,"stationary"
1387874996,0,32,11.9680121536,143.233314909,143.233314909,143.874437361,"stationary"
1388057698,0,902,12.7308165267,162.073689436,141.995677103,135.922156051,"walking"
1387874968,0,32,12.098815188,146.381328953,147.139745724,146.262203472,"stationary"
1388060951,0,24,10.3616080923,107.362922258,102.277831867,109.41284097,"bus"
1387869493,0.8789924,6,11.4100099525,130.188327116,130.188327116,126.902099251,"walking"
1387875716,0,32,11.9646805838,143.153581472,141.911089813,143.151431875,"stationary"
1388057844,0,24,11.6571960282,135.89021924,135.89021924,96.8291244066,"walking"
1387974840,0,150,11.90867668,141.816580269,141.463009891,142.171295868,"stationary"
